title,link,summary,category,website,published
Gary Neville makes questionable Liverpool prediction again – “Bookmark this”,https://www.thisisanfield.com/2024/08/gary-neville-makes-questionable-liverpool-prediction-again-bookmark-this/,"This is an article by This is Anfield. Gary Neville has stirred controversy by predicting that Manchester United will finish above Liverpool in the upcoming season. With uncertainty surrounding Liverpool's new manager, Arne Slot, and their lack of signings, fans are left questioning the team's prospects. In contrast, Manchester United has already spent £141 million on transfers, raising questions about Erik ten Hag's future. During a discussion on Sky’s Stick to Football podcast, Neville expressed doubt about Liverpool making the top four, suggesting that Tottenham could be a surprise contender. He acknowledged that he often makes incorrect predictions, which adds to the entertainment of the season. Neville also raised concerns about the impact of missing out on key players, like Martin Zubimendi, on Liverpool's squad morale. Despite his predictions, the upcoming season remains uncertain, and fans are eager to see how it unfolds.",Liverpool FC,This is Anfield,2024-08-14 14:16:15+0000
Liverpool pursuing Giorgi Mamardashvili deal – won’t join first team this summer,https://www.thisisanfield.com/2024/08/liverpool-pursuing-giorgi-mamardashvili-deal-wont-join-first-team-this-summer/,"This is an article by This is Anfield. Liverpool's interest in goalkeeper Giorgi Mamardashvili has intensified, according to a reliable Merseyside reporter. The 23-year-old has impressed for Georgia at the Euros and has been a standout performer for Valencia over the past three seasons. His name has been linked to Liverpool as a potential successor to Alisson, which indicates strategic squad planning by the club. Reports suggest that while Liverpool has increased their interest, Mamardashvili is unlikely to join this season and may remain at Valencia for another year or two. The club believes that his estimated price tag of around £30 million would be a good investment. Personal terms have reportedly been agreed, and Mamardashvili is interested in the move, even if it requires a wait. This situation raises questions about the futures of Alisson and Caoimhin Kelleher, as well as current transfer priorities. There are various options for Mamardashvili's potential transfer, including a loan agreement with Valencia. Overall, this deal reflects Liverpool's long-term planning rather than immediate needs.",Liverpool FC,This is Anfield,2024-08-14 12:12:57+0000
“Loving life” or end of an era? How Man City and Arsenal fans predict the 2024/25 season,https://www.thisisanfield.com/2024/08/loving-life-or-end-of-an-era-how-man-city-and-arsenal-fans-predict-the-2024-25-season/,"This is an article by This is Anfield. Man City and Arsenal are the favourites to challenge for the Premier League title ahead of Liverpool this season. Pep Guardiola’s side won a fourth consecutive league crown last time around, but the gap at the top was only two points. Arsenal have done good business this summer, and a drop-off from City could allow the Gunners to end their two-decade title drought. The mood among Arsenal fans is optimistic, with a renewed sense of hope that this season could finally see them end their Premier League drought. They have added new players to their squad, which is seen as a significant boost. 

On the other hand, there are concerns for Liverpool, particularly regarding the adjustment period under new management and a lack of transfer activity. While some predict Liverpool will finish third, others believe they may struggle to challenge for the title. The general sentiment is that Man City remains the team to beat, with their consistency making them the likely champions again. Arsenal fans are excited about their prospects, hoping to close the gap to City and possibly secure their first title in years.",Liverpool FC,This is Anfield,2024-08-14 12:00:13+0000
Liverpool journalist: Club “open to selling” Luis Diaz as exit rumours persist,https://www.thisisanfield.com/2024/08/liverpool-journalist-club-open-to-selling-luis-diaz-as-exit-rumours-persist/,"This is an article by This is Anfield. Luis Diaz's future has come under scrutiny following rumors that he might join Manchester City, which were quickly dismissed by sources from both clubs. Despite the speculation, This Is Anfield reports that Liverpool has not received any formal approach for the winger. Journalist David Lynch suggests that while the club is not eager to sell Diaz, there is an openness to the idea, as they believe they could upgrade their options on the left side. Lynch notes that Diaz's capabilities are acknowledged, but Liverpool feels there are potential replacements available. Anthony Gordon is mentioned as a primary target, although Newcastle's current position complicates that possibility. The club reportedly values Diaz at £75 million, a figure that may deter Barcelona given their financial issues. Even though Liverpool is unlikely to pursue a new defensive midfielder this summer, they are not actively seeking offers for Diaz. His performance in pre-season, where he scored twice against Sevilla, highlights his potential impact for the upcoming season. As the transfer window nears its end, Diaz remains a player to watch closely.",Liverpool FC,This is Anfield,2024-08-14 11:25:24+0000
‘Balancing chaos’ – Arne Slot tells fans what they can expect from Liverpool this season,https://www.thisisanfield.com/2024/08/balancing-chaos-arne-slot-tells-fans-what-they-can-expect-from-liverpool-this-season/,"This is an article by This is Anfield. Arne Slot‘s style has similarities to what Jurgen Klopp brought with him to Liverpool, but the new head coach has outlined the differences fans will see from his team in 2024/25. The Reds’ season starts in three days, and there begins the spotlight that will follow Slot as he begins his first campaign at Anfield. In an interview with Canal+, Slot spoke of what fans can expect to see more of as the season unfolds and how he’s eager to balance the chaotic moments that Klopp and his team thrived on. The Dutchman explained: “Style of play has been with my teams where I worked, I think, always the same. There are a lot of similarities with Jurgen Klopp, with the way they played in the past, and I’m hoping we will see these similarities in the upcoming weeks and months. “We like to have the ball, we don’t like the other team to have the ball. But the Premier League is a league where many good clubs are and many clubs want to have the ball, so we have to fight really hard for us to have the ball. A critique, if you will, of Klopp’s game late on was how he harnessed the chaos and looked for it too often. Slot, on the other hand, wants to strike a balance, and as he previously coined it, “kill them with passes.”",Liverpool FC,This is Anfield,2024-08-14 10:10:34+0000
Who is Giorgi Mamardashvili? The 6’6″ goalkeeper Liverpool could now sign,https://www.thisisanfield.com/2024/08/who-is-giorgi-mamardashvili-liverpool-transfer-news-scouting/,"This is an article by This is Anfield. Liverpool is reportedly looking to sign Valencia goalkeeper Giorgi Mamardashvili this summer, with discussions already underway. The 23-year-old has been Valencia’s first-choice goalkeeper for the past two-and-a-half seasons, making 100 appearances since joining from Dinamo Tbilisi in 2021. Mamardashvili recently made headlines during the Euros, where he was instrumental in Georgia's surprising run to the last 16, showcasing his shot-stopping abilities and reflexes. Standing at 6'6"", he is dominant in his area and has been praised for his agility and quickness off his line. 

While Liverpool's interest in Mamardashvili is confirmed, the extent of the negotiations varies by source, with some suggesting a deal is close while others indicate the club is merely monitoring the situation. If he joins, he would initially serve as a backup to Alisson, who may be nearing the end of his time at Liverpool. The plan could involve loaning Mamardashvili out to gain experience before he potentially takes over as the first-choice goalkeeper. His leadership and communication skills are also noted as significant assets for any team.",Liverpool FC,This is Anfield,2024-08-14 09:35:57+0000
Sepp van den Berg sees club drop transfer interest due to Liverpool’s “stubborn attitude”,https://www.thisisanfield.com/2024/08/sepp-van-den-berg-sees-club-drop-transfer-interest-due-to-liverpools-stubborn-attitude/,"This is an article by This is Anfield. Sepp van den Berg has attracted significant transfer interest this summer, but Liverpool's high price tag has deterred potential suitors, leading one club to withdraw from the race. The centre-back has been a consistent presence in pre-season, although he missed the recent Anfield friendlies due to ""load management."" Reports indicate that at least 11 clubs are interested in Van den Berg, with PSV being a leading contender after submitting an £8.4 million bid, which Liverpool rejected, valuing him closer to £20 million. This valuation would set a transfer record for PSV, and due to Liverpool's firm stance, the Dutch club has decided to shift their focus elsewhere. Liverpool has not made a final decision on Van den Berg's future, and with multiple interested parties, they are under no pressure to lower their asking price. Other clubs such as Mainz, Stuttgart, and Bayer Leverkusen are also monitoring the situation. Van den Berg himself acknowledged the high valuation, stating that while it is a compliment, it complicates potential moves. With just over two weeks left in the transfer window, Liverpool has much work to do regarding player transfers.",Liverpool FC,This is Anfield,2024-08-14 09:11:07+0000
Reporter claims Real Madrid “cooling their interest” in Trent Alexander-Arnold,https://www.thisisanfield.com/2024/08/reporter-claims-real-madrid-cooling-their-interest-in-trent-alexander-arnold/,"This is an article by This is Anfield. With Trent Alexander-Arnold yet to pen an extension at Liverpool, his future remains a focal point for fans, although his headline suitors have reportedly ‘cooled their interest’. Alexander-Arnold is one of three key players out of contract next summer, alongside Virgil van Dijk and Mohamed Salah. Sporting director Richard Hughes prioritizes securing Alexander-Arnold's future, as losing him on a free transfer would be detrimental. Real Madrid has been linked to the 25-year-old, especially given his friendship with Jude Bellingham, but reports indicate that their interest is waning. 

While it’s reassuring that none of the trio are pushing for an exit, Van Dijk noted that there have been “no changes” to his contract situation. The players will assess the club's direction under the new head coach, which requires trust in the club's plans. Van Dijk expressed confidence that Liverpool will make the right decisions in the transfer market, emphasizing the need for signings to compete effectively. However, recent developments, such as Martin Zubimendi's decision to stay at his boyhood club, suggest that Liverpool may not sign a No. 6 this summer. Alexander-Arnold, Van Dijk, and Salah will undoubtedly be closely monitoring these situations.",Liverpool FC,This is Anfield,2024-08-14 08:34:09+0000
This Is Anfield in its 23rd season – follow Liverpool FC with us,https://www.thisisanfield.com/2024/08/this-is-anfield-follow-liverpool-fc/,"This is an article by This is Anfield. We’re less than a week away from Liverpool returning to Premier League action, marking the start of the 23rd season of the This Is Anfield website. Arne Slot becomes the 22nd permanent manager in the club’s history, the seventh since This Is Anfield began in 2001. The website started when Nicolas Anelka made his Reds’ debut, at a time when the internet was still in its infancy. Today, we have over four million followers on social media, a testament to our growth from a hobby to a small business that supports local community causes. Last season, we expanded our video content, including a documentary on Jurgen Klopp’s era that garnered over 100,000 views. We continue to live stream Liverpool press conferences, having been the first in England to do so in 2015. Our partnership with Carabao allowed us to gift tickets to fans for the Carabao Cup final. This season, we’re excited to cover the women’s team as they play at Anfield and continue our partnerships with FourFourTwo and FotMob. We aim to inform, entertain, and keep you updated about the Reds while reminiscing about the club’s history. 2024/25 promises to be an intriguing time for Liverpool FC, and we look forward to sharing it all with you.",Liverpool FC,This is Anfield,2024-08-14 07:00:37+0000
8 new things in Premier League this season – big offside and team news changes,https://www.thisisanfield.com/2024/08/8-new-things-in-premier-league-this-season-big-offside-and-team-news-changes/,"This is an article by This is Anfield. The 2024/25 season is right around the corner, bringing significant changes for Liverpool and the Premier League. Arne Slot aims to build on the foundations left by his predecessor, with a focus on returning to the Champions League. Leicester and Southampton return to the top flight, joined by Ipswich Town, who are back in the Premier League for the first time in 22 years. The Reds will face Ipswich on the opening day and meet the other two promoted sides by Boxing Day.

The Premier League has approved the use of semi-automated offside technology (SAOT) for the new season, which will speed up offside decisions using limb-tracking technology. Starting lineups will now be confirmed 75 minutes before kickoff, aligning with UEFA practices. The new Nike Flight ball, featuring AerowSculpt technology, will be purple, yellow, and white, marking the 25th season with Nike as the official supplier.

Arne Slot is among several new managers in the Premier League, with others like Fabian Hurzeler and Enzo Maresca also taking charge for the first time. VAR will continue to be used, with a focus on improving its implementation. Notably, there will be no winter or mid-season break this season, allowing for a longer summer break for players.",Liverpool FC,This is Anfield,2024-08-14 06:00:44+0000
